fc;P_eddy;P_mag;P_tot;flux_r;flux_i
89080;50.8137;545.005;595.819;4.5275e-07;-1.03256e-08
99950;49.7147;677.527;727.242;4.49872e-07;-1.15445e-08
112160;51.5473;842.41;893.958;4.46985e-07;-1.29175e-08
125860;56.9867;1047.31;1104.3;4.44088e-07;-1.44659e-08
141260;69;1336.26;1405.26;4.4687e-07;-1.64295e-08
158500;88.6996;1703.85;1792.55;4.49632e-07;-1.8679e-08
177820;115.527;2090.63;2206.16;4.43833e-07;-2.08676e-08
199500;160.881;2631.58;2792.46;4.43693e-07;-2.36619e-08
223850;228.379;3271;3499.38;4.40665e-07;-2.67313e-08
251170;336.187;4118.46;4454.65;4.40421e-07;-3.04906e-08
281850;510.063;5253.82;5763.88;4.42931e-07;-3.51428e-08
316230;772.875;6614.98;7387.86;4.4248e-07;-4.04269e-08
354820;1181.2;8330.5;9511.7;4.41855e-07;-4.6768e-08
398100;1838.39;10626.7;12465.1;4.43801e-07;-5.48035e-08
446690;2799.04;13219.1;16018.1;4.39706e-07;-6.38858e-08
